price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,sqft_above,sqft_basement,city,country
313000,3,1.5,1340,1.5,0,0,1340,0,Shoreline,USA
2384000,5,2.5,3650,2,0,4,3370,280,Seattle,USA
342000,3,2,1930,1,0,0,1930,0,Kent,USA
420000,3,2.25,2000,1,0,0,1000,1000,Bellevue,USA
550000,4,2.5,1940,1,0,0,1140,800,Redmond,USA
490000,2,1,880,1,0,0,880,0,Seattle,USA
335000,2,2,1350,1,0,0,1350,0,Redmond,USA
482000,4,2.5,2710,2,0,0,2710,0,Maple Valley,USA
452500,3,2.5,2430,1,0,0,1570,860,North Bend,USA
640000,4,2,1520,1.5,0,0,1520,0,Seattle,USA
463000,3,1.75,1710,1,0,0,1710,0,Lake Forest Park,USA
1400000,4,2.5,2920,1.5,0,0,1910,1010,Seattle,USA
588500,3,1.75,,1,0,0,1970,360,Sammamish,USA
365000,3,1,1090,1,0,0,1090,0,Seattle,USA
1200000,5,2.75,2910,1.5,0,0,2910,0,Seattle,USA
242500,3,1.5,1200,1,0,0,1200,0,Kent,USA
419000,3,1.5,1570,1,0,0,1570,0,Bellevue,USA
367500,4,3,3110,2,0,0,3110,0,Auburn,USA
257950,3,1.75,1370,1,0,0,1370,0,Des Moines,USA
275000,3,1.5,1180,1,0,0,1180,0,North Bend,USA
750000,3,1.75,2240,2,0,0,1550,690,Seattle,USA
435000,4,1,1450,1,0,0,1450,0,Bellevue,USA
626000,3,2.25,1750,2.5,0,0,1470,280,Seattle,USA
612500,4,2.5,,2,0,0,2730,0,Bothell,USA
495000,4,1.75,1600,1,0,0,1130,470,Seattle,USA
285000,3,2.5,2090,1,0,0,1360,730,Federal Way,USA
615000,3,1.75,2360,1,0,0,1360,1000,Seattle,USA
698000,4,2.25,2200,1.5,0,0,1300,900,Kirkland,USA
675000,5,2.5,2820,2,0,0,2820,0,Issaquah,USA
790000,3,2.5,,1,0,0,1700,900,Seattle,USA
382500,4,1.75,1560,1,0,0,1560,0,Kirkland,USA
499950,4,2.5,2860,2,0,0,2190,670,Woodinville,USA
650000,4,2,1820,1.5,0,1,1640,180,Seattle,USA
625000,4,2.5,2820,2,0,0,2820,0,Shoreline,USA
